,region,yearweek,max_wind,min_wind,avg_wind,max_rain,min_rain,avg_rain,max_snow,min_snow,avg_snow,max_tempmax,min_tempmax,avg_tempmax,max_tempmin,min_tempmin,avg_tempmin
528,New York,201506,4.4,1.7,3.142857142857143,25.9,0.0,3.7714285714285714,127.0,0.0,18.142857142857142,6.1,-3.2,2.0142857142857142,-1.6,-11.0,-7.285714285714286
529,New York,201507,6.5,2.4,4.114285714285715,2.3,0.0,0.4428571428571428,23.0,0.0,3.7142857142857144,4.4,-6.0,-0.21428571428571416,-3.2,-15.5,-8.4
530,New York,201508,5.1,1.3,2.871428571428571,15.5,0.0,3.085714285714286,84.0,0.0,26.428571428571427,6.1,-7.1,-1.6857142857142857,0.0,-16.6,-10.471428571428572
531,New York,201509,5.0,1.0,2.7142857142857144,13.2,0.0,1.8857142857142857,122.0,0.0,17.428571428571427,3.3,-4.3,-0.18571428571428575,-4.3,-15.5,-9.114285714285714
532,New York,201510,3.6,2.2,2.642857142857143,19.3,0.0,6.1000000000000005,191.0,0.0,33.857142857142854,9.4,-2.7,4.042857142857143,2.8,-11.0,-4.214285714285714
533,New York,201511,5.1,1.6,3.0,20.6,0.0,4.700000000000001,0.0,0.0,0.0,15.0,6.1,10.085714285714285,6.7,-0.5,3.3285714285714287
534,New York,201512,4.3,1.7,3.1714285714285713,10.2,0.0,1.5285714285714285,114.0,0.0,16.285714285714285,13.9,3.3,7.528571428571429,1.7,-2.1,-0.8142857142857143
535,New York,201513,3.4,1.3,2.314285714285714,8.1,0.0,2.3285714285714287,0.0,0.0,0.0,16.7,3.3,8.085714285714285,5.6,-4.9,-0.6428571428571429
536,New York,201514,4.5,2.2,2.957142857142857,4.3,0.0,0.7999999999999999,0.0,0.0,0.0,19.4,8.3,14.285714285714286,15.0,0.0,5.014285714285714
537,New York,201515,5.1,1.5,3.085714285714286,4.3,0.0,1.157142857142857,0.0,0.0,0.0,18.9,6.1,13.328571428571427,6.7,2.8,4.785714285714286
538,New York,201516,3.8,1.7,2.5,2.0,0.0,0.32857142857142857,0.0,0.0,0.0,26.7,17.8,20.642857142857142,15.0,8.9,11.6
539,New York,201517,4.1,2.3,3.085714285714286,34.8,0.0,5.885714285714285,0.0,0.0,0.0,20.6,11.1,15.642857142857142,11.1,3.3,6.828571428571428
540,New York,201518,3.6,1.1,2.414285714285714,0.0,0.0,0.0,0.0,0.0,0.0,26.7,16.7,21.514285714285712,10.6,8.9,9.6
541,New York,201519,2.4,1.0,1.742857142857143,0.0,0.0,0.0,0.0,0.0,0.0,29.4,21.1,26.5,18.9,13.3,14.914285714285715
542,New York,201520,3.3,0.9,1.7714285714285716,7.6,0.0,1.157142857142857,0.0,0.0,0.0,30.0,21.1,25.557142857142857,21.1,10.0,15.014285714285714
543,New York,201521,3.1,1.1,1.9857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,27.2,16.7,22.614285714285717,15.6,9.4,12.771428571428572
544,New York,201522,2.5,1.8,2.2,37.1,0.0,5.585714285714286,0.0,0.0,0.0,31.1,29.4,29.814285714285713,21.1,13.9,18.714285714285715
545,New York,201523,4.6,1.3,2.414285714285714,18.3,0.0,5.114285714285714,0.0,0.0,0.0,24.4,12.8,19.342857142857145,15.6,10.0,12.157142857142857
546,New York,201524,2.7,1.2,1.9857142857142858,9.1,0.0,1.5571428571428572,0.0,0.0,0.0,31.7,26.1,29.442857142857143,22.8,17.2,20.228571428571428
547,New York,201525,2.4,1.0,1.7857142857142858,16.3,0.0,5.385714285714286,0.0,0.0,0.0,31.1,21.7,27.071428571428573,21.7,17.8,18.900000000000002
548,New York,201526,3.3,1.4,2.2857142857142856,28.4,0.0,5.185714285714285,0.0,0.0,0.0,32.2,21.7,27.385714285714283,23.9,14.4,19.285714285714285
549,New York,201527,2.2,0.5,1.4714285714285715,9.9,0.0,1.5571428571428572,0.0,0.0,0.0,28.3,23.9,26.67142857142857,20.6,17.2,19.7
550,New York,201528,2.2,0.9,1.5857142857142856,7.6,0.0,1.5142857142857142,0.0,0.0,0.0,31.7,26.1,29.75714285714286,25.0,20.0,22.3
551,New York,201529,2.5,1.2,1.7142857142857142,10.7,0.0,3.114285714285714,0.0,0.0,0.0,33.9,26.7,29.042857142857144,25.6,17.8,21.75714285714286
552,New York,201530,2.6,0.9,1.6714285714285713,0.0,0.0,0.0,0.0,0.0,0.0,34.4,29.4,31.342857142857145,27.8,20.0,22.38571428571429
553,New York,201531,2.0,0.9,1.5,49.5,0.0,8.371428571428572,0.0,0.0,0.0,35.6,30.0,32.32857142857143,25.6,21.7,23.342857142857145
554,New York,201532,2.4,1.1,1.8285714285714287,10.9,0.0,1.5571428571428572,0.0,0.0,0.0,32.2,27.8,29.842857142857145,23.9,19.4,20.957142857142856
555,New York,201533,2.1,0.7,1.5571428571428572,29.7,0.0,4.242857142857143,0.0,0.0,0.0,33.9,27.2,30.3,24.4,19.4,21.5
556,New York,201534,2.5,1.5,1.9000000000000001,8.1,0.0,2.257142857142857,0.0,0.0,0.0,35.0,29.4,31.114285714285717,25.6,20.6,23.114285714285717
557,New York,201535,1.8,0.9,1.3857142857142857,3.3,0.0,0.4714285714285714,0.0,0.0,0.0,32.2,27.8,30.08571428571429,22.8,17.2,20.457142857142856
558,New York,201536,3.1,0.6,1.4571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,33.9,28.3,31.428571428571427,24.4,18.3,22.185714285714287
559,New York,201537,2.8,1.7,2.2285714285714286,40.1,0.0,6.928571428571429,0.0,0.0,0.0,36.1,26.1,29.67142857142857,24.4,16.7,21.02857142857143
560,New York,201538,3.5,0.6,1.5857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,31.7,25.0,28.814285714285713,20.0,15.0,18.342857142857145
561,New York,201539,3.4,1.3,2.4857142857142853,0.0,0.0,0.0,0.0,0.0,0.0,27.8,21.7,23.900000000000002,17.2,13.3,15.557142857142859
562,New York,201540,5.6,1.2,3.685714285714286,32.0,0.0,10.485714285714286,0.0,0.0,0.0,28.3,12.8,20.24285714285714,22.2,8.9,14.114285714285714
563,New York,201541,2.8,0.7,1.5571428571428572,22.6,0.0,3.2285714285714286,0.0,0.0,0.0,25.6,18.3,21.67142857142857,16.1,10.0,12.771428571428572
564,New York,201542,2.6,1.6,2.0,0.3,0.0,0.04285714285714286,0.0,0.0,0.0,25.0,10.0,18.1,16.1,3.3,10.642857142857142
565,New York,201543,3.0,1.0,2.0714285714285716,1.3,0.0,0.18571428571428572,0.0,0.0,0.0,24.4,11.7,19.042857142857144,14.4,1.7,8.485714285714286
566,New York,201544,3.0,1.3,2.242857142857143,35.6,0.0,5.228571428571429,0.0,0.0,0.0,22.8,13.3,17.214285714285715,13.9,5.6,9.614285714285714
567,New York,201545,2.1,0.9,1.3857142857142857,0.3,0.0,0.04285714285714286,0.0,0.0,0.0,23.3,13.3,20.142857142857142,18.9,7.8,12.299999999999999
568,New York,201546,4.8,0.9,2.9142857142857146,10.9,0.0,2.542857142857143,0.0,0.0,0.0,16.1,9.4,13.942857142857145,10.6,3.9,7.714285714285714
569,New York,201547,2.9,1.8,2.5285714285714285,31.8,0.0,4.6571428571428575,0.0,0.0,0.0,19.4,11.1,15.0,13.9,4.4,7.957142857142856
570,New York,201548,2.6,1.2,1.7,0.5,0.0,0.07142857142857142,0.0,0.0,0.0,17.8,6.7,12.157142857142857,10.6,0.0,4.128571428571428
571,New York,201549,3.8,1.0,2.142857142857143,8.4,0.0,1.7142857142857142,0.0,0.0,0.0,13.9,8.3,11.214285714285714,7.8,0.6,5.1000000000000005
572,New York,201550,2.1,0.9,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,19.4,9.4,14.914285714285715,12.8,4.4,8.742857142857144
573,New York,201551,4.7,2.1,3.042857142857143,30.7,0.0,6.057142857142857,0.0,0.0,0.0,20.0,4.4,12.928571428571429,11.7,1.1,6.757142857142857
574,New York,201552,3.6,0.4,2.2285714285714286,39.4,0.0,6.828571428571428,0.0,0.0,0.0,22.2,13.3,17.142857142857142,17.2,3.9,10.557142857142859
575,New York,201553,3.7,1.8,2.9857142857142853,11.4,0.0,2.542857142857143,0.0,0.0,0.0,8.9,4.4,7.228571428571429,5.6,0.0,1.9857142857142858
576,New York,201601,4.4,1.1,2.6714285714285713,45.7,0.0,6.528571428571429,0.0,0.0,0.0,15.0,-1.6,6.357142857142857,4.4,-11.6,-2.5
